ID	words	gloss	light_type	rotation	color	num_train_images
21	point, rotation at (4.0252, -5.1532, 3.4884), color is (0.77, 0.67, 0.76, 1.0)	A silver color point light	POINT	(4.0252, -5.1532, 3.4884)	(0.77, 0.67, 0.76, 1.0)	1
22	sun, rotation at (4.0252, -5.1532, 3.4884), color is (0.77, 0.67, 0.76, 1.0)	A silver color sun light	SUN	(4.0252, -5.1532, 3.4884)	(0.77, 0.67, 0.76, 1.0)	1
23	spot, rotation at (4.0252, -5.1532, 3.4884), color is (0.77, 0.67, 0.76, 1.0)	A silver color spot light	SPOT	(4.0252, -5.1532, 3.4884)	(0.77, 0.67, 0.76, 1.0)	1
24	area, rotation at (4.0252, -5.1532, 3.4884), color is (0.77, 0.67, 0.76, 1.0)	A silver color area light	AREA	(4.0252, -5.1532, 3.4884)	(0.77, 0.67, 0.76, 1.0)	1
25	point, rotation at (4.0252, -5.1532, 3.4884), color is (0.85, 1.0, 0.97, 1.0)	A lightcyan color point light	POINT	(4.0252, -5.1532, 3.4884)	(0.85, 1.0, 0.97, 1.0)	1
26	sun, rotation at (4.0252, -5.1532, 3.4884), color is (0.85, 1.0, 0.97, 1.0)	A lightcyan color sun light	SUN	(4.0252, -5.1532, 3.4884)	(0.85, 1.0, 0.97, 1.0)	1
27	spot, rotation at (4.0252, -5.1532, 3.4884), color is (0.85, 1.0, 0.97, 1.0)	A lightcyan color spot light	SPOT	(4.0252, -5.1532, 3.4884)	(0.85, 1.0, 0.97, 1.0)	1
28	area, rotation at (4.0252, -5.1532, 3.4884), color is (0.85, 1.0, 0.97, 1.0)	A lightcyan color area light	AREA	(4.0252, -5.1532, 3.4884)	(0.85, 1.0, 0.97, 1.0)	1
29	point, rotation at (4.0252, -5.1532, 3.4884), color is (0.81, 1.0, 1.0, 1.0)	A lightcyan color point light	POINT	(4.0252, -5.1532, 3.4884)	(0.81, 1.0, 1.0, 1.0)	1
30	sun, rotation at (4.0252, -5.1532, 3.4884), color is (0.81, 1.0, 1.0, 1.0)	A lightcyan color sun light	SUN	(4.0252, -5.1532, 3.4884)	(0.81, 1.0, 1.0, 1.0)	1
31	spot, rotation at (4.0252, -5.1532, 3.4884), color is (0.81, 1.0, 1.0, 1.0)	A lightcyan color spot light	SPOT	(4.0252, -5.1532, 3.4884)	(0.81, 1.0, 1.0, 1.0)	1
32	area, rotation at (4.0252, -5.1532, 3.4884), color is (0.81, 1.0, 1.0, 1.0)	A lightcyan color area light	AREA	(4.0252, -5.1532, 3.4884)	(0.81, 1.0, 1.0, 1.0)	1
33	point, rotation at (4.0252, -5.1532, 3.4884), color is (0.86, 1.0, 1.0, 1.0)	A lightcyan color point light	POINT	(4.0252, -5.1532, 3.4884)	(0.86, 1.0, 1.0, 1.0)	1
34	sun, rotation at (4.0252, -5.1532, 3.4884), color is (0.86, 1.0, 1.0, 1.0)	A lightcyan color sun light	SUN	(4.0252, -5.1532, 3.4884)	(0.86, 1.0, 1.0, 1.0)	1
35	spot, rotation at (4.0252, -5.1532, 3.4884), color is (0.86, 1.0, 1.0, 1.0)	A lightcyan color spot light	SPOT	(4.0252, -5.1532, 3.4884)	(0.86, 1.0, 1.0, 1.0)	1
36	area, rotation at (4.0252, -5.1532, 3.4884), color is (0.86, 1.0, 1.0, 1.0)	A lightcyan color area light	AREA	(4.0252, -5.1532, 3.4884)	(0.86, 1.0, 1.0, 1.0)	1
37	point, rotation at (4.0252, -5.1532, 3.4884), color is (0.64, 1.0, 1.0, 1.0)	A paleturquoise color point light	POINT	(4.0252, -5.1532, 3.4884)	(0.64, 1.0, 1.0, 1.0)	1
38	sun, rotation at (4.0252, -5.1532, 3.4884), color is (0.64, 1.0, 1.0, 1.0)	A paleturquoise color sun light	SUN	(4.0252, -5.1532, 3.4884)	(0.64, 1.0, 1.0, 1.0)	1
39	spot, rotation at (4.0252, -5.1532, 3.4884), color is (0.64, 1.0, 1.0, 1.0)	A paleturquoise color spot light	SPOT	(4.0252, -5.1532, 3.4884)	(0.64, 1.0, 1.0, 1.0)	1
40	area, rotation at (4.0252, -5.1532, 3.4884), color is (0.64, 1.0, 1.0, 1.0)	A paleturquoise color area light	AREA	(4.0252, -5.1532, 3.4884)	(0.64, 1.0, 1.0, 1.0)	1
41	point, rotation at (4.0252, -5.1532, 3.4884), color is (0.77, 0.83, 1.0, 1.0)	A lightblue color point light	POINT	(4.0252, -5.1532, 3.4884)	(0.77, 0.83, 1.0, 1.0)	1
42	sun, rotation at (4.0252, -5.1532, 3.4884), color is (0.77, 0.83, 1.0, 1.0)	A lightblue color sun light	SUN	(4.0252, -5.1532, 3.4884)	(0.77, 0.83, 1.0, 1.0)	1
43	spot, rotation at (4.0252, -5.1532, 3.4884), color is (0.77, 0.83, 1.0, 1.0)	A lightblue color spot light	SPOT	(4.0252, -5.1532, 3.4884)	(0.77, 0.83, 1.0, 1.0)	1
44	area, rotation at (4.0252, -5.1532, 3.4884), color is (0.77, 0.83, 1.0, 1.0)	A lightblue color area light	AREA	(4.0252, -5.1532, 3.4884)	(0.77, 0.83, 1.0, 1.0)	1
45	point, rotation at (4.0252, -5.1532, 3.4884), color is (0.78, 0.96, 1.0, 1.0)	A lightcyan color point light	POINT	(4.0252, -5.1532, 3.4884)	(0.78, 0.96, 1.0, 1.0)	1
46	sun, rotation at (4.0252, -5.1532, 3.4884), color is (0.78, 0.96, 1.0, 1.0)	A lightcyan color sun light	SUN	(4.0252, -5.1532, 3.4884)	(0.78, 0.96, 1.0, 1.0)	1
47	spot, rotation at (4.0252, -5.1532, 3.4884), color is (0.78, 0.96, 1.0, 1.0)	A lightcyan color spot light	SPOT	(4.0252, -5.1532, 3.4884)	(0.78, 0.96, 1.0, 1.0)	1
48	area, rotation at (4.0252, -5.1532, 3.4884), color is (0.78, 0.96, 1.0, 1.0)	A lightcyan color area light	AREA	(4.0252, -5.1532, 3.4884)	(0.78, 0.96, 1.0, 1.0)	1
49	point, rotation at (-2.5046, 3.725, -0.202), color is (0.81, 1.0, 0.67, 1.0)	A palegoldenrod color point light	POINT	(-2.5046, 3.725, -0.202)	(0.81, 1.0, 0.67, 1.0)	1
50	sun, rotation at (-2.5046, 3.725, -0.202), color is (0.81, 1.0, 0.67, 1.0)	A palegoldenrod color sun light	SUN	(-2.5046, 3.725, -0.202)	(0.81, 1.0, 0.67, 1.0)	1
51	spot, rotation at (-2.5046, 3.725, -0.202), color is (0.81, 1.0, 0.67, 1.0)	A palegoldenrod color spot light	SPOT	(-2.5046, 3.725, -0.202)	(0.81, 1.0, 0.67, 1.0)	1
52	area, rotation at (-2.5046, 3.725, -0.202), color is (0.81, 1.0, 0.67, 1.0)	A palegoldenrod color area light	AREA	(-2.5046, 3.725, -0.202)	(0.81, 1.0, 0.67, 1.0)	1
53	point, rotation at (-2.5046, 3.725, -0.202), color is (0.78, 1.0, 1.0, 1.0)	A lightcyan color point light	POINT	(-2.5046, 3.725, -0.202)	(0.78, 1.0, 1.0, 1.0)	1
54	sun, rotation at (-2.5046, 3.725, -0.202), color is (0.78, 1.0, 1.0, 1.0)	A lightcyan color sun light	SUN	(-2.5046, 3.725, -0.202)	(0.78, 1.0, 1.0, 1.0)	1
55	spot, rotation at (-2.5046, 3.725, -0.202), color is (0.78, 1.0, 1.0, 1.0)	A lightcyan color spot light	SPOT	(-2.5046, 3.725, -0.202)	(0.78, 1.0, 1.0, 1.0)	1
56	area, rotation at (-2.5046, 3.725, -0.202), color is (0.78, 1.0, 1.0, 1.0)	A lightcyan color area light	AREA	(-2.5046, 3.725, -0.202)	(0.78, 1.0, 1.0, 1.0)	1
57	point, rotation at (-2.5046, 3.725, -0.202), color is (0.72, 0.53, 0.72, 1.0)	A darkgray color point light	POINT	(-2.5046, 3.725, -0.202)	(0.72, 0.53, 0.72, 1.0)	1
58	sun, rotation at (-2.5046, 3.725, -0.202), color is (0.72, 0.53, 0.72, 1.0)	A darkgray color sun light	SUN	(-2.5046, 3.725, -0.202)	(0.72, 0.53, 0.72, 1.0)	1
59	spot, rotation at (-2.5046, 3.725, -0.202), color is (0.72, 0.53, 0.72, 1.0)	A darkgray color spot light	SPOT	(-2.5046, 3.725, -0.202)	(0.72, 0.53, 0.72, 1.0)	1
60	area, rotation at (-2.5046, 3.725, -0.202), color is (0.72, 0.53, 0.72, 1.0)	A darkgray color area light	AREA	(-2.5046, 3.725, -0.202)	(0.72, 0.53, 0.72, 1.0)	1
61	point, rotation at (-2.5046, 3.725, -0.202), color is (0.75, 1.0, 1.0, 1.0)	A paleturquoise color point light	POINT	(-2.5046, 3.725, -0.202)	(0.75, 1.0, 1.0, 1.0)	1
62	sun, rotation at (-2.5046, 3.725, -0.202), color is (0.75, 1.0, 1.0, 1.0)	A paleturquoise color sun light	SUN	(-2.5046, 3.725, -0.202)	(0.75, 1.0, 1.0, 1.0)	1
63	spot, rotation at (-2.5046, 3.725, -0.202), color is (0.75, 1.0, 1.0, 1.0)	A paleturquoise color spot light	SPOT	(-2.5046, 3.725, -0.202)	(0.75, 1.0, 1.0, 1.0)	1
64	area, rotation at (-2.5046, 3.725, -0.202), color is (0.75, 1.0, 1.0, 1.0)	A paleturquoise color area light	AREA	(-2.5046, 3.725, -0.202)	(0.75, 1.0, 1.0, 1.0)	1
65	point, rotation at (-2.5046, 3.725, -0.202), color is (0.27, 1.0, 1.0, 1.0)	A turquoise color point light	POINT	(-2.5046, 3.725, -0.202)	(0.27, 1.0, 1.0, 1.0)	1
66	sun, rotation at (-2.5046, 3.725, -0.202), color is (0.27, 1.0, 1.0, 1.0)	A turquoise color sun light	SUN	(-2.5046, 3.725, -0.202)	(0.27, 1.0, 1.0, 1.0)	1
67	spot, rotation at (-2.5046, 3.725, -0.202), color is (0.27, 1.0, 1.0, 1.0)	A turquoise color spot light	SPOT	(-2.5046, 3.725, -0.202)	(0.27, 1.0, 1.0, 1.0)	1
68	area, rotation at (-2.5046, 3.725, -0.202), color is (0.27, 1.0, 1.0, 1.0)	A turquoise color area light	AREA	(-2.5046, 3.725, -0.202)	(0.27, 1.0, 1.0, 1.0)	1
69	point, rotation at (-2.5046, 3.725, -0.202), color is (0.77, 0.79, 1.0, 1.0)	A lightblue color point light	POINT	(-2.5046, 3.725, -0.202)	(0.77, 0.79, 1.0, 1.0)	1
70	sun, rotation at (-2.5046, 3.725, -0.202), color is (0.77, 0.79, 1.0, 1.0)	A lightblue color sun light	SUN	(-2.5046, 3.725, -0.202)	(0.77, 0.79, 1.0, 1.0)	1
71	spot, rotation at (-2.5046, 3.725, -0.202), color is (0.77, 0.79, 1.0, 1.0)	A lightblue color spot light	SPOT	(-2.5046, 3.725, -0.202)	(0.77, 0.79, 1.0, 1.0)	1
72	area, rotation at (-2.5046, 3.725, -0.202), color is (0.77, 0.79, 1.0, 1.0)	A lightblue color area light	AREA	(-2.5046, 3.725, -0.202)	(0.77, 0.79, 1.0, 1.0)	1
73	point, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 0.25, 0.98, 1.0)	A fuchsia color point light	POINT	(-2.5046, 3.725, -0.202)	(1.0, 0.25, 0.98, 1.0)	1
74	sun, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 0.25, 0.98, 1.0)	A fuchsia color sun light	SUN	(-2.5046, 3.725, -0.202)	(1.0, 0.25, 0.98, 1.0)	1
75	spot, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 0.25, 0.98, 1.0)	A fuchsia color spot light	SPOT	(-2.5046, 3.725, -0.202)	(1.0, 0.25, 0.98, 1.0)	1
76	area, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 0.25, 0.98, 1.0)	A fuchsia color area light	AREA	(-2.5046, 3.725, -0.202)	(1.0, 0.25, 0.98, 1.0)	1
77	point, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 0.42, 1.0, 1.0)	A violet color point light	POINT	(-2.5046, 3.725, -0.202)	(1.0, 0.42, 1.0, 1.0)	1
78	sun, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 0.42, 1.0, 1.0)	A violet color sun light	SUN	(-2.5046, 3.725, -0.202)	(1.0, 0.42, 1.0, 1.0)	1
79	spot, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 0.42, 1.0, 1.0)	A violet color spot light	SPOT	(-2.5046, 3.725, -0.202)	(1.0, 0.42, 1.0, 1.0)	1
80	area, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 0.42, 1.0, 1.0)	A violet color area light	AREA	(-2.5046, 3.725, -0.202)	(1.0, 0.42, 1.0, 1.0)	1
81	point, rotation at (-2.5046, 3.725, -0.202), color is (0.74, 1.0, 0.94, 1.0)	A paleturquoise color point light	POINT	(-2.5046, 3.725, -0.202)	(0.74, 1.0, 0.94, 1.0)	1
82	sun, rotation at (-2.5046, 3.725, -0.202), color is (0.74, 1.0, 0.94, 1.0)	A paleturquoise color sun light	SUN	(-2.5046, 3.725, -0.202)	(0.74, 1.0, 0.94, 1.0)	1
83	spot, rotation at (-2.5046, 3.725, -0.202), color is (0.74, 1.0, 0.94, 1.0)	A paleturquoise color spot light	SPOT	(-2.5046, 3.725, -0.202)	(0.74, 1.0, 0.94, 1.0)	1
84	area, rotation at (-2.5046, 3.725, -0.202), color is (0.74, 1.0, 0.94, 1.0)	A paleturquoise color area light	AREA	(-2.5046, 3.725, -0.202)	(0.74, 1.0, 0.94, 1.0)	1
85	point, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 0.84, 1.0, 1.0)	A lavenderblush color point light	POINT	(-2.5046, 3.725, -0.202)	(1.0, 0.84, 1.0, 1.0)	1
86	sun, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 0.84, 1.0, 1.0)	A lavenderblush color sun light	SUN	(-2.5046, 3.725, -0.202)	(1.0, 0.84, 1.0, 1.0)	1
87	spot, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 0.84, 1.0, 1.0)	A lavenderblush color spot light	SPOT	(-2.5046, 3.725, -0.202)	(1.0, 0.84, 1.0, 1.0)	1
88	area, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 0.84, 1.0, 1.0)	A lavenderblush color area light	AREA	(-2.5046, 3.725, -0.202)	(1.0, 0.84, 1.0, 1.0)	1
89	point, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 1.0, 1.0, 1.0)	A white color point light	POINT	(-2.5046, 3.725, -0.202)	(1.0, 1.0, 1.0, 1.0)	1
90	sun, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 1.0, 1.0, 1.0)	A white color sun light	SUN	(-2.5046, 3.725, -0.202)	(1.0, 1.0, 1.0, 1.0)	1
91	spot, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 1.0, 1.0, 1.0)	A white color spot light	SPOT	(-2.5046, 3.725, -0.202)	(1.0, 1.0, 1.0, 1.0)	1
92	area, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 1.0, 1.0, 1.0)	A white color area light	AREA	(-2.5046, 3.725, -0.202)	(1.0, 1.0, 1.0, 1.0)	1
93	point, rotation at (-2.5046, 3.725, -0.202), color is (0.69, 0.77, 1.0, 1.0)	A lightblue color point light	POINT	(-2.5046, 3.725, -0.202)	(0.69, 0.77, 1.0, 1.0)	1
94	sun, rotation at (-2.5046, 3.725, -0.202), color is (0.69, 0.77, 1.0, 1.0)	A lightblue color sun light	SUN	(-2.5046, 3.725, -0.202)	(0.69, 0.77, 1.0, 1.0)	1
95	spot, rotation at (-2.5046, 3.725, -0.202), color is (0.69, 0.77, 1.0, 1.0)	A lightblue color spot light	SPOT	(-2.5046, 3.725, -0.202)	(0.69, 0.77, 1.0, 1.0)	1
96	area, rotation at (-2.5046, 3.725, -0.202), color is (0.69, 0.77, 1.0, 1.0)	A lightblue color area light	AREA	(-2.5046, 3.725, -0.202)	(0.69, 0.77, 1.0, 1.0)	1
97	point, rotation at (-2.5046, 3.725, -0.202), color is (0.85, 1.0, 1.0, 1.0)	A lightcyan color point light	POINT	(-2.5046, 3.725, -0.202)	(0.85, 1.0, 1.0, 1.0)	1
98	sun, rotation at (-2.5046, 3.725, -0.202), color is (0.85, 1.0, 1.0, 1.0)	A lightcyan color sun light	SUN	(-2.5046, 3.725, -0.202)	(0.85, 1.0, 1.0, 1.0)	1
99	spot, rotation at (-2.5046, 3.725, -0.202), color is (0.85, 1.0, 1.0, 1.0)	A lightcyan color spot light	SPOT	(-2.5046, 3.725, -0.202)	(0.85, 1.0, 1.0, 1.0)	1
100	area, rotation at (-2.5046, 3.725, -0.202), color is (0.85, 1.0, 1.0, 1.0)	A lightcyan color area light	AREA	(-2.5046, 3.725, -0.202)	(0.85, 1.0, 1.0, 1.0)	1
101	point, rotation at (-2.5046, 3.725, -0.202), color is (0.86, 0.86, 1.0, 1.0)	A lavender color point light	POINT	(-2.5046, 3.725, -0.202)	(0.86, 0.86, 1.0, 1.0)	1
102	sun, rotation at (-2.5046, 3.725, -0.202), color is (0.86, 0.86, 1.0, 1.0)	A lavender color sun light	SUN	(-2.5046, 3.725, -0.202)	(0.86, 0.86, 1.0, 1.0)	1
103	spot, rotation at (-2.5046, 3.725, -0.202), color is (0.86, 0.86, 1.0, 1.0)	A lavender color spot light	SPOT	(-2.5046, 3.725, -0.202)	(0.86, 0.86, 1.0, 1.0)	1
104	area, rotation at (-2.5046, 3.725, -0.202), color is (0.86, 0.86, 1.0, 1.0)	A lavender color area light	AREA	(-2.5046, 3.725, -0.202)	(0.86, 0.86, 1.0, 1.0)	1
105	point, rotation at (-2.5046, 3.725, -0.202), color is (0.72, 0.82, 0.35, 1.0)	A darkkhaki color point light	POINT	(-2.5046, 3.725, -0.202)	(0.72, 0.82, 0.35, 1.0)	1
106	sun, rotation at (-2.5046, 3.725, -0.202), color is (0.72, 0.82, 0.35, 1.0)	A darkkhaki color sun light	SUN	(-2.5046, 3.725, -0.202)	(0.72, 0.82, 0.35, 1.0)	1
107	spot, rotation at (-2.5046, 3.725, -0.202), color is (0.72, 0.82, 0.35, 1.0)	A darkkhaki color spot light	SPOT	(-2.5046, 3.725, -0.202)	(0.72, 0.82, 0.35, 1.0)	1
108	area, rotation at (-2.5046, 3.725, -0.202), color is (0.72, 0.82, 0.35, 1.0)	A darkkhaki color area light	AREA	(-2.5046, 3.725, -0.202)	(0.72, 0.82, 0.35, 1.0)	1
109	point, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 1.0, 0.86, 1.0)	A lightyellow color point light	POINT	(-2.5046, 3.725, -0.202)	(1.0, 1.0, 0.86, 1.0)	1
110	sun, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 1.0, 0.86, 1.0)	A lightyellow color sun light	SUN	(-2.5046, 3.725, -0.202)	(1.0, 1.0, 0.86, 1.0)	1
111	spot, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 1.0, 0.86, 1.0)	A lightyellow color spot light	SPOT	(-2.5046, 3.725, -0.202)	(1.0, 1.0, 0.86, 1.0)	1
112	area, rotation at (-2.5046, 3.725, -0.202), color is (1.0, 1.0, 0.86, 1.0)	A lightyellow color area light	AREA	(-2.5046, 3.725, -0.202)	(1.0, 1.0, 0.86, 1.0)	1
113	point, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 1.0, 0.38, 1.0)	A khaki color point light	POINT	(4.904, 0.1837, 0.0995)	(1.0, 1.0, 0.38, 1.0)	1
114	sun, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 1.0, 0.38, 1.0)	A khaki color sun light	SUN	(4.904, 0.1837, 0.0995)	(1.0, 1.0, 0.38, 1.0)	1
115	spot, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 1.0, 0.38, 1.0)	A khaki color spot light	SPOT	(4.904, 0.1837, 0.0995)	(1.0, 1.0, 0.38, 1.0)	1
116	area, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 1.0, 0.38, 1.0)	A khaki color area light	AREA	(4.904, 0.1837, 0.0995)	(1.0, 1.0, 0.38, 1.0)	1
117	point, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 1.0, 0.61, 1.0)	A palegoldenrod color point light	POINT	(4.904, 0.1837, 0.0995)	(1.0, 1.0, 0.61, 1.0)	1
118	sun, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 1.0, 0.61, 1.0)	A palegoldenrod color sun light	SUN	(4.904, 0.1837, 0.0995)	(1.0, 1.0, 0.61, 1.0)	1
119	spot, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 1.0, 0.61, 1.0)	A palegoldenrod color spot light	SPOT	(4.904, 0.1837, 0.0995)	(1.0, 1.0, 0.61, 1.0)	1
120	area, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 1.0, 0.61, 1.0)	A palegoldenrod color area light	AREA	(4.904, 0.1837, 0.0995)	(1.0, 1.0, 0.61, 1.0)	1
121	point, rotation at (4.904, 0.1837, 0.0995), color is (0.39, 0.87, 0.63, 1.0)	A mediumaquamarine color point light	POINT	(4.904, 0.1837, 0.0995)	(0.39, 0.87, 0.63, 1.0)	1
122	sun, rotation at (4.904, 0.1837, 0.0995), color is (0.39, 0.87, 0.63, 1.0)	A mediumaquamarine color sun light	SUN	(4.904, 0.1837, 0.0995)	(0.39, 0.87, 0.63, 1.0)	1
123	spot, rotation at (4.904, 0.1837, 0.0995), color is (0.39, 0.87, 0.63, 1.0)	A mediumaquamarine color spot light	SPOT	(4.904, 0.1837, 0.0995)	(0.39, 0.87, 0.63, 1.0)	1
124	area, rotation at (4.904, 0.1837, 0.0995), color is (0.39, 0.87, 0.63, 1.0)	A mediumaquamarine color area light	AREA	(4.904, 0.1837, 0.0995)	(0.39, 0.87, 0.63, 1.0)	1
125	point, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 1.0, 0.9, 1.0)	A lightyellow color point light	POINT	(4.904, 0.1837, 0.0995)	(1.0, 1.0, 0.9, 1.0)	1
126	sun, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 1.0, 0.9, 1.0)	A lightyellow color sun light	SUN	(4.904, 0.1837, 0.0995)	(1.0, 1.0, 0.9, 1.0)	1
127	spot, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 1.0, 0.9, 1.0)	A lightyellow color spot light	SPOT	(4.904, 0.1837, 0.0995)	(1.0, 1.0, 0.9, 1.0)	1
128	area, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 1.0, 0.9, 1.0)	A lightyellow color area light	AREA	(4.904, 0.1837, 0.0995)	(1.0, 1.0, 0.9, 1.0)	1
129	point, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 0.54, 0.36, 1.0)	A coral color point light	POINT	(4.904, 0.1837, 0.0995)	(1.0, 0.54, 0.36, 1.0)	1
130	sun, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 0.54, 0.36, 1.0)	A coral color sun light	SUN	(4.904, 0.1837, 0.0995)	(1.0, 0.54, 0.36, 1.0)	1
131	spot, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 0.54, 0.36, 1.0)	A coral color spot light	SPOT	(4.904, 0.1837, 0.0995)	(1.0, 0.54, 0.36, 1.0)	1
132	area, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 0.54, 0.36, 1.0)	A coral color area light	AREA	(4.904, 0.1837, 0.0995)	(1.0, 0.54, 0.36, 1.0)	1
133	point, rotation at (4.904, 0.1837, 0.0995), color is (1.0, 0.96, 0.99, 1.0)	A snow color point light	POINT	(4.904, 0.1837, 0.0995)	(1.0, 0.96, 0.99, 1.0)	1
